1步杀421,1Rb1kc3/4a4/4bc3/1N2C4/9/9/9/9/9/3K5 w
4步杀3617,4kab2/1N2a4/8n/9/4p4/2R6/9/3C5/5p2r/4K4 w
4步杀3618,9/r2k5/1R1ab4/3N5/2b6/1C7/9/3n1p3/4p4/5K3 w
4步杀3619,2ba1k2C/4a4/4b2RN/9/4n4/9/9/3p5/2r1p4/3K5 w
4步杀3620,2ba1a3/5k3/1C7/9/9/3N5/9/3R5/2r5c/3K1n3 w
4步杀3621,2b2k3/9/3a1a3/2CNRc3/9/9/9/5A3/2r6/4K1n2 w
4步杀3622,3k5/9/3a1a3/3cRNC2/9/9/9/3A1A3/6r2/2n1K4 w
4步杀3623,2b2kb2/9/5a3/3N2RC1/9/9/9/2n2A3/3r5/c3KA3 w
4步杀3624,2b1ka3/4a2N1/4b4/9/1R7/9/9/2n6/9/c1rAKAC2 w
4步杀3625,2ba1k3/4a2R1/4b4/5N3/9/9/9/2n1B3C/4Ar3/1cBAK4 w
4步杀3626,3k1ab2/1R2a4/4b4/3N5/9/9/9/C3B1n2/3rA4/4KABc1 w
4步杀3627,3k5/9/3a1a3/1C2RN3/9/9/9/6nr1/3p5/4K3c w
4步杀3628,3a1kb2/4aN3/9/9/9/9/5R3/n3C4/1r2p4/c2K5 w
4步杀3629,5a3/4k4/4ba1n1/9/4N4/4C4/9/3c5/2r1p4/3K2R2 w
4步杀3630,C3k1b2/1R3c3/1N2b4/9/9/9/5r3/4pA3/2n2K3/9 w
4步杀3631,2bak4/4a4/r3b4/9/4N4/3R5/9/1C7/4pn3/3K4c w
4步杀3632,2bk4C/9/3a5/1R3cN2/9/9/9/6n2/3p1r3/3AKA3 w
4步杀3633,2bR1ab2/5r3/4k4/3N5/9/8C/9/4B4/4pcn2/3K5 w
4步杀3634,3akc3/4a4/9/8N/9/5R3/9/2nA4C/3r1p3/4KA3 w
4步杀3635,5a1C1/3ka4/1R2b4/7N1/2b6/9/9/5n3/2r1p4/c4K3 w
4步杀3636,5a3/4k4/4ba1n1/9/4N4/4C4/3c5/6R2/2r1p4/3K2B2 w
4步杀3637,2b1k4/4aR3/c2ab4/1N7/9/9/9/2n1B4/2p1r4/1C1K2B2 w
4步杀3638,2b2a2R/3N1k3/b8/1C7/9/9/9/2n1B4/3pA4/4KArc1 w
4步杀3639,3akab2/5R3/4bNr2/9/9/7C1/9/n3B4/4Ap3/c2K5 w
4步杀3640,4R4/4a4/b3kaN2/9/9/9/9/n3B3C/3rAp3/c3KAB2 w
4步杀3641,C1ba5/2N1k4/4b4/4R4/9/9/5n3/4B4/4Ap1r1/1cBAK4 w
4步杀3642,1n1akab2/9/4b4/3Np4/9/2C6/7R1/4B4/1r2A4/c3KAB2 w
4步杀3643,5a3/5k3/9/4pN3/9/6R1C/n8/9/4pr3/3K4c w
4步杀3644,5N3/1cC2k3/5a3/4R4/9/6n2/r8/3p5/4p4/3K5 w
4步杀3645,9/1R6c/5k2b/9/9/5N3/9/9/2rp1pn2/4K3C w
4步杀3646,2b1ka3/4a4/2n1bc3/1N3R1C1/9/9/9/4p4/3p4r/4K4 w
4步杀3647,2bak4/4a4/4b4/9/2N1R4/9/9/2C3n2/3p1p1r1/4K3c w
4步杀3648,3akab1C/7R1/4b4/6pN1/2n6/9/9/9/4rp3/3K4c w
4步杀3649,4kab2/6R1n/9/9/3N5/9/4C4/4B4/pp1rA4/c3KA3 w
4步杀3650,2ba3r1/4k4/2ncb4/8C/2p3p2/5R3/9/4B3N/4p4/2B2K3 w
4步杀3651,2b6/3k5/2N1R4/9/6b2/9/3n5/4Cp3/2c5r/1c3KB2 w
4步杀3652,1r3R3/3k2c2/3a5/9/2b1N1b2/2B3B2/9/4C4/4A1p2/c1nA1K3 w
4步杀3653,5R1c1/3k4C/n3b2N1/9/2r3p2/6c2/9/5p3/4p4/5K3 w
4步杀3654,1R4C1c/4k4/3a1aN2/6p2/6n2/8r/9/5A3/4AKn2/9 w
4步杀3655,2ba2n2/4ak3/4b4/4R4/4N4/9/9/5C3/3rAp3/c1nAK4 w
4步杀3656,2b2a2R/3N1k3/cC7/7n1/9/9/r8/9/4A4/4KAnc1 w
4步杀3657,4kab2/3R5/4N4/9/9/9/9/1C7/5r1r1/4K4 w
4步杀3658,C1baR1b2/5k3/9/9/9/5Nr2/9/9/3p2r2/4K4 w
4步杀3659,9/9/2CRbk3/4N4/4p4/r8/9/9/1r2p4/3K5 w
4步杀3660,3a2R2/5k3/5a3/2r6/7NC/9/2r6/9/3p1p3/4K4 w
4步杀3661,2bak3C/4a4/4b4/3r1N1R1/9/9/9/3p5/2r1p4/3K5 w
4步杀3662,3ak1b2/4aRN2/4b1r2/9/9/7C1/9/3p5/2r1p4/3K5 w
4步杀3663,4k1b2/4a2C1/3ab4/R4N2r/9/9/9/5p3/3rp4/5K3 w
4步杀3664,R1b1k1b2/4a2C1/3a5/4rN3/9/9/9/5p3/1r2p4/5K3 w
4步杀3665,R2akarr1/1NC6/9/9/9/9/9/6p1B/3pA4/3A1KB2 w
4步杀3666,3N5/4k4/3a2R2/9/5C3/9/9/2rA1p1r1/3p2p2/5K3 w
4步杀3667,9/c2k5/C5R2/3N5/9/9/9/4p4/7rr/4K4 w
4步杀3668,2bNk1b2/9/3a5/5R3/9/4C4/4p4/4B4/1r4r2/1cBAK4 w
4步杀3669,2bak1b2/5R3/6r2/4C1N2/3c5/9/9/9/1rp1p4/3K5 w
4步杀3670,2ba1krc1/4a4/4bN3/4CR3/9/9/9/3p5/2r1p4/3K5 w
4步杀3671,5R3/4k4/3a5/6p2/1c1N1C3/1r5r1/6p2/3K1p3/4p4/9 w
4步杀3672,2bak4/9/1c2b2c1/5r3/4N4/3R5/9/4C4/4r4/3K2B2 w
4步杀3673,c2a5/4a4/3k3N1/4R4/9/9/9/9/2rr1p3/1c2K1C2 w
4步杀3674,4kr3/CN6c/4b4/1R7/6b2/9/9/3AB3r/3pA4/4K2c1 w
4步杀3675,3k5/9/3a5/3rRNC2/9/9/9/2n6/6r2/4K4 w
4步杀3676,3a5/4ak3/5rnRN/9/9/8C/9/9/4r4/3K5 w
4步杀3677,3k1a3/9/3a5/3rRN2C/9/9/9/6n2/5r3/4K4 w
4步杀3678,2b2k3/3Ra4/3aN4/9/9/1C4B2/9/r3B2r1/4n4/3K5 w
4步杀3679,2b1ka2R/3r5/2N6/9/9/9/5n3/4B1C2/3rA4/2B1KA3 w
4步杀3680,3a2R2/5k3/5a3/9/1r5N1/9/9/6n2/3r1p3/4K3C w
4步杀3681,3a5/3k5/6n2/3Np4/9/C1R6/9/3r5/3rAK3/9 w
4步杀3682,3k5/6R2/b2a5/9/9/9/9/2N5C/1r1p1rn2/4K4 w
4步杀3683,3a5/3k5/6n2/3Np4/9/C1R6/9/3r5/3rAK3/6B2 w
4步杀3684,5a3/5k3/2n6/4pN3/9/6R1C/9/5r3/3KAr3/2B6 w
4步杀3685,5a3/5k3/2n6/4pN3/9/6R1C/1r7/2p6/3KAr3/9 w
4步杀3686,3k1a1r1/2N2R3/4b3n/9/6b2/9/9/1c1C5/4AK3/2BA2r2 w
4步杀3687,2b1ka2R/3r5/2N6/4p4/4cn3/9/9/4B1C2/3rA4/2B1KA3 w
4步杀3688,2ba2n2/4ak3/4b4/4R4/4N4/9/9/5C3/3rAp3/c1rAK4 w
4步杀3689,8r/4knN2/4b4/c1p6/4p4/9/5R3/5C3/2r1p4/5K3 w
4步杀3690,6b1r/9/2N1k4/8p/8n/5R3/1r1p5/2p1C4/2c1p4/3K5 w
4步杀3691,3a1kbRC/3r5/5a3/9/6b1N/9/6c2/4BAc2/2nr5/2BAK4 w
4步杀3692,1r3R3/3k2c2/3a5/9/2b1N1b2/9/9/4CK3/4p1r2/3c2n2 w
4步杀3693,4R4/9/3k5/3C5/9/9/3N5/1r1r1n3/3n5/3K5 w
4步杀3694,1c3a3/4k1C2/2R6/6N2/4p4/4n4/4r4/4r4/4n4/4K4 w
4步杀3695,8R/5k3/2N4r1/9/1n3n3/4C4/9/5p3/2r1p1p2/5Kc2 w
4步杀3696,1R1a1r3/5k2r/3a5/9/4Ncn2/9/4C4/5p3/4pn3/3p1K3 w
4步杀3697,4R4/3k1N3/9/5c3/1rcC2b2/4p4/4n4/4K4/4n4/4r4 w
4步杀3698,3ar4/Cr7/4k4/3N5/6b2/3R5/9/4c4/2np1p1n1/2c1K4 w
4步杀3699,2b1c4/1R7/1c1kNn2C/4p4/9/r1n4r1/9/3p5/4p4/3K5 w
4步杀3700,8r/3nak2r/3a5/2p6/R7n/3N1C2c/9/5p3/4p4/5K1c1 w
4步杀3701,2ba1krrc/4a2n1/4bN3/4CR2n/9/9/9/9/1c2p1p2/3p1K3 w
4步杀3882,2b1k1b2/4a4/4NR3/9/4C3n/1nC1c4/2c6/3p5/4pp3/3K5 w
4步杀3883,C1N2abc1/3ka4/9/9/9/9/3n3CR/9/1n1p1p3/c3K1p2 w
4步杀3884,3a5/4k4/4b4/9/4N4/3RC3r/5p3/6C2/4p4/5K3 w
4步杀3885,5a3/4k4/4b4/9/4N4/r3CR3/3p5/2C6/4p4/3K5 w
4步杀3886,3a5/4k4/4b4/9/2b1N4/3RC3r/9/5pC2/4p4/5K3 w
4步杀3887,2bak3C/4a4/4b4/4CR2N/9/9/9/3p5/2r1p4/3K5 w
4步杀3888,3Nkab2/3r1R3/4b4/7CC/9/9/9/3p5/2p1p4/3K5 w
4步杀3889,C1R2a3/3k5/3a5/9/N1b6/4C4/9/4B4/4Ap2r/4KAB1c w
4步杀3890,2R2a3/3k5/3a5/7r1/1N7/9/9/4n4/4C4/C3K4 w
4步杀3891,3ak1b2/1r2a2N1/4b4/7R1/9/6C2/9/2n5C/5p3/c3K4 w
4步杀3892,3R1N3/C3k3C/c8/9/9/9/9/5pn2/4p1r2/5K3 w
4步杀3893,5a3/4k4/4b4/9/4N4/r3CR3/3p5/2C4n1/4p4/3K4c w
4步杀3894,1R2Na3/3k3C1/3a4b/6p2/9/9/4n3c/5p2C/4r4/5K3 w
4步杀3895,5aC2/4kc3/4bR2C/9/4p4/9/2n6/4B4/4p3r/3K2N2 w
4步杀3896,2bak1b2/4aR2C/6N1n/9/9/9/9/4BC3/1r1p1p3/c3K4 w
4步杀3897,5kc2/3R5/1N2b4/4C4/2b2C3/9/9/6n2/7r1/4K3c w
4步杀3898,3ak1b2/4aR2C/3rc3b/7N1/9/2B6/n3c4/3AB4/4A4/4KC3 w
4步杀3899,3a5/C7R/3ck4/3N5/C8/9/9/5p3/r3p4/c2AnK3 w
4步杀3900,2b1ka3/4a4/4b3n/3R1N3/9/9/3C5/5C3/1nrpA4/1c2KA3 w
4步杀3901,2ba5/5knN1/4b4/8R/9/9/2C6/2n1C4/1rp1A4/c1BAK4 w
4步杀3902,3k1a3/9/3rb1n2/4NR3/4CC3/9/9/2n6/2p2p3/1c2KA3 w
4步杀3903,3k1a3/9/3rb1n2/4NR3/4CC3/9/2p6/2n6/3p1p3/2c1K4 w
4步杀3904,2b1k1bn1/4a4/3RN4/4C4/9/9/9/2C1Bn3/3p1ppr1/4K3c w
4步杀3905,2b1ka3/4a4/2n1bn3/9/4C1C2/4c1N2/3Rc2r1/4B4/4A4/3K1AB2 w
4步杀3906,2b1kab2/C2Ra4/n1N6/9/9/9/3c5/3CB4/1n1r1p3/1c2K4 w
4步杀3907,2bak1b2/4aR2C/6N1n/9/9/9/5c3/4BC3/3p1r1n1/4K2c1 w
4步杀3908,1CrN1kb2/r3a2R1/4c3b/9/9/9/9/7C1/9/3K5 w
4步杀3909,C2k1a1r1/4a4/b4Rc2/5Nr2/9/9/9/7C1/3p5/4K4 w
4步杀3910,4k4/3R5/4ba3/2N6/9/7C1/9/4B3C/rrp1p4/c2K2B2 w
4步杀3911,3r1k3/1C2a4/5a3/3RN4/9/7rC/9/2n6/3p1p3/4K4 w
4步杀3912,3ak1CR1/4a4/4c4/1N1r4C/9/9/9/3n5/r3p4/3K5 w
4步杀3913,3a5/3r1k3/C8/1C3N3/9/1n7/9/3p5/4p4/1c1K1R1r1 w
4步杀3914,3a1k1C1/1RN2n3/4b4/1Cp1p1p2/4c4/9/9/9/6r1r/5K3 w
4步杀3915,2b4R1/4ak2c/4b4/6n2/8N/9/9/3CC4/2rp1p3/4KAr1c w
4步杀3916,1rC1c4/9/n1N1k4/9/9/9/5R3/4C4/4rn3/3K5 w
4步杀3917,2baR3r/9/4bk3/5nN2/9/6B2/9/2n1C4/1r7/c3K3C w
4步杀3918,2R2CbC1/3k5/3rc4/n3N4/7n1/4r4/9/9/4p1p2/5K3 w
4步杀4042,Nc2ka3/1Nc1a4/4b4/9/9/5R3/9/4C4/4p1p2/3p1K3 w
4步杀4043,4k3C/5RN2/4b4/4p4/8N/9/9/5p3/1c1p1p3/3cK4 w
4步杀4044,6b2/3k1N1RN/3r5/7C1/9/9/9/9/3p1p3/4K4 w
4步杀4045,5Nb2/4k4/5R3/4C4/8N/9/9/5p3/4p1cr1/5K3 w
4步杀4046,9/4k4/5R1c1/2N6/1N7/1Cc6/6r2/5p3/4p4/5K3 w
4步杀4047,2N2k3/3c5/4R4/1cp4N1/6p2/5C3/9/9/1rp1p4/3K5 w
4步杀4048,4R4/5k3/5N3/9/6C2/5n3/3N5/3p5/1r2p4/3K5 w
4步杀4049,2na1kb2/3Ra1NN1/C8/9/6b2/9/9/9/r2p1p3/4K4 w
4步杀4050,2bk1a3/7N1/bN7/9/9/C8/9/7n1/4Apr2/2RAK3c w
4步杀4051,2ba2b2/5k3/3R1aN2/6N2/9/9/4p4/2nA5/3p5/1r1CKABc1 w
4步杀4052,r1bck4/3RaN3/5a3/6N2/C8/9/4p4/1n2BA3/3p5/c1BA1K3 w
4步杀4053,c8/2R6/2Nk4b/9/4p3r/4CN3/3n5/3c5/2p1p4/3K5 w
4步杀4054,6b2/1R3nrC1/2N1k3b/9/2N6/9/5c3/3p5/2p1pc3/3K5 w
4步杀4055,2bk1a3/7N1/bN7/7nc/9/C8/9/B3n4/5pr2/2RAK3c w
4步杀4056,5k3/9/3nR4/4N1N2/4n4/4Cc3/4c4/9/2p1p2r1/3K5 w
4步杀4057,3k2b2/R8/4nN1Nc/9/9/9/3C5/9/4pnpr1/4cK3 w
4步杀4058,6N2/4ak3/R3n3c/9/9/3N5/5C3/9/4pnpr1/4cK3 w
4步杀4059,2b1kN3/3R5/b2N1n2C/1r6c/7n1/6c2/9/5p3/4p4/5K3 w
4步杀4060,2b2k3/6R2/bN6C/1r1n1N2c/7n1/6c2/9/5p3/4p4/5K3 w
4步杀4061,2R3N2/5k3/4Na2c/1n4p2/2b1p1n2/9/9/3cC4/2rp1p3/4K4 w
4步杀4062,5RN2/4k4/4Na2c/1n4p2/2b1p1n2/9/9/3cC4/2rp1p3/4K4 w
4步杀4063,5k3/4R4/2r1N4/9/9/C5N2/9/9/3p1r3/4K4 w
4步杀4064,1c2k4/CN1r5/3N1R3/9/2b3b1c/9/2r6/5pp2/4p4/5K3 w
4步杀4065,r3k4/1C4Rc1/8b/2N6/2b3N2/9/9/3pp4/2p6/3Kc1r2 w
4步杀4066,2b2Rn2/1N1k5/4b4/4N4/7r1/9/9/4C4/4p1p2/1r1c1K3 w
4步杀4067,2N1k4/8C/n4R3/7rr/4N4/5c3/9/3pp4/4c4/3K5 w
4步杀4068,5k3/3R4C/b4N3/5c3/1nbN5/9/9/3p5/2p5r/3Kcr3 w
4步杀4069,1cb2k3/4R4/b6N1/2N6/4n1p2/9/6cr1/3p1C3/1r1p5/4K4 w
4步杀4070,6b2/1r1k1nrC1/8b/9/6N2/9/3N1c3/3p5/2p1pc3/1R1K5 w
4步杀4071,2bk1a3/5R1C1/b2N5/6Nn1/6c2/9/9/2rp5/4p1p2/3K2c1r w
4步杀4072,c1c3b2/4k4/2NN5/2p1n1p2/2b6/3R5/9/9/3p1p1r1/2p1KCr2 w
4步杀4073,2rk1n2c/4nR3/3NN4/9/3r2b2/9/3C5/5p3/4p4/5K3 w
4步杀4074,4R1b2/2nr4C/1n3k2b/5NN2/9/2r6/6c2/9/6p2/3p1K3 w
4步杀4075,5Rb2/2nrk3C/1n1N4b/9/9/2r6/3N2c2/9/6p2/3p1K3 w
4步杀4076,r2k1a3/8C/3Nn1N2/9/3R5/9/6n2/2pp5/4p4/r1cK5 w
4步杀4077,1r4R2/2Nc3rC/4k4/2pn1Np2/n1b3b2/9/9/9/4p1p2/5K3 w
4步杀4078,4R4/9/5k3/4N4/2p3Cr1/2p2p2N/2n2n2r/2p2K2B/3cp4/9 w
4步杀4079,3R1N3/4k4/8b/4N3n/2b3nc1/9/9/4rp3/6p2/1cr1CK3 w
4步杀4080,1c4N2/5R3/1c1k4C/4p2n1/2bN2b2/r1n4r1/9/3p5/4p4/3K5 w
4步杀4081,9/9/3k4b/2p1N3n/2b1N1nc1/9/2R6/4rp3/6p2/1cr1CK3 w
4步杀4082,2r2k3/8N/5N1R1/2p3p2/1nb6/9/9/2nccp3/2p2C3/3K1p1r1 w
4步杀4083,2r6/5k3/6NR1/2pN2p2/1nb6/9/9/2ncc1p2/2p2C3/3K1p1r1 w
4步杀4121,C2k1Nb1C/2NcR4/n8/9/6b2/9/2r6/9/4p1p2/5K3 w
4步杀4122,1c1N1kN2/9/4R4/4pn3/2p3b2/4C4/9/2C6/2p1p4/3K1c1r1 w
4步杀4123,2N2kn2/4a1N2/2c6/9/2b6/1rn1C4/3C5/3c3R1/2p1p4/3K5 w
4步杀4124,3a1k3/4a4/4b2R1/2p1C1N2/9/2C6/4c4/4B1N2/4A2r1/4K1n1r w
4步杀4125,3a1kb2/4a1RN1/4b4/2p5C/9/1C7/4c4/4B4/4A1Nr1/4KAn1r w
4步杀4126,2N2kr2/2N1a4/2c6/9/2b6/1rn1C4/3C5/3c3R1/2p1p4/3K5 w
4步杀4127,4k1bc1/9/2N4n1/9/4Ncb2/4R1C2/9/4r4/1r2p1p2/2C2K3 w
4步杀4128,6bc1/9/3k3n1/4N4/4Ncb2/4R1C2/9/4r4/1r2p1p2/2C2K3 w
4步杀4129,1r2RN3/3k5/2n5C/2N3p2/2C3b2/9/9/9/3p1p3/3cKc1r1 w
4步杀4130,4R4/1C1Nckr2/6N1c/9/2r6/3n5/9/5p3/3p2p2/3pCK3 w
4步杀4131,4k4/N6R1/1rca5/8p/5N2n/4C1r2/3C1p3/3c5/2p1p4/3K5 w
4步杀4132,R2r5/4nk1N1/2n1b4/9/9/1r2C4/4c4/4B4/3pN4/4KC3 w
4步杀4133,2bk5/4RrNn1/1n2b4/9/2p3p2/1NB1C4/9/4B4/1r1p5/c3KC3 w
4步杀4134,6bR1/4ak3/3a5/2C6/1Cn3c2/1Nc3pN1/2n3r2/3KBp3/4r4/9 w
4步杀4135,1r7/2NR5/4kN2b/2p1n4/4cr3/2n1C4/4cC3/9/4p1p2/5K3 w
4步杀4340,3ak1b2/c3aR3/4b4/2N2R3/1C7/9/9/9/r3p1p2/5K3 w
4步杀4341,4kab2/4a4/4bc3/9/9/R1N6/9/R2C1A3/3p1p1r1/3AK4 w
4步杀4342,4ka3/3R5/n3Na3/8C/9/R8/5r3/5p3/4p4/5K3 w
4步杀4343,6b2/3Rak2C/3Nc4/9/6p2/R8/9/4B4/4Arn2/2BAK4 w
4步杀4344,RC3kb2/3ra1N2/4ba3/5R3/9/9/9/9/3pA4/4KAnc1 w
4步杀4345,4R4/3C1k3/3n5/9/6N2/9/9/5p3/4p4/1R3K1cr w
4步杀4346,4kab2/4a4/4bc3/9/9/1RN6/9/R2C2n2/3p1p3/4KA1r1 w
4步杀4347,2ba1k2C/4a1R2/4c1N1b/9/6r2/2R6/9/6p1B/3p5/2BAK1n2 w
4步杀4348,C1ba1k3/4a1R2/4c1N1b/9/6r2/2R6/9/6p1B/3p5/2BAK1n2 w
4步杀4349,4k2CR/4a4/4naN2/6p2/4p4/5c3/5r3/5p3/4p4/5K1R1 w
4步杀4350,c4k2c/4R1R2/b1N6/9/9/6B2/6n2/5r3/C2K5/9 w
4步杀4351,3k2b2/2R1a3C/b2a2n1N/9/9/2B6/9/4BR3/2p1r1c2/c4K3 w
4步杀4352,2c1ka3/3Ra4/4b2RN/9/9/6C2/7p1/1p5rn/4A4/c3KA3 w
4步杀4353,4k1b2/4a3n/3abc3/1NR3R2/4C4/9/9/1c2B4/3pAp3/1prAK4 w
4步杀4354,3N1a3/3k5/4R4/1n7/R8/9/9/9/5rn2/C2AKABc1 w
4步杀4355,3N1a3/3k5/4Ra3/1n7/7R1/6B2/9/9/6rn1/C2AK3c w
4步杀4356,3N1a3/3k5/4R4/1n7/R8/9/9/9/3p1rn2/C2AKABc1 w
4步杀4357,3cka1n1/3Ra4/3nb4/7N1/9/6C2/9/9/5p3/1R1AK1B1r w
4步杀4358,3N1a3/3k5/4R4/1n3r3/R8/8c/9/6n2/3p1p3/C3K1B2 w
4步杀4359,5kb2/1C2a4/R3bn2n/4N4/2c6/2B3R2/4c4/4B4/1r2p4/5K3 w
4步杀4360,2b1k2n1/4a4/9/7N1/2c1c1R2/9/9/4p4/1nr1p2R1/C2K5 w
4步杀4361,1nbaRR3/3k1N3/9/3n5/2b6/1p7/5c3/B3p3C/3cA4/1rBAK4 w
4步杀4362,4R4/2R6/3k1nN1C/2p2n3/2b6/9/5c3/4p4/5p3/2rcK4 w
4步杀4363,3k4C/4a4/2R2a3/2n1pnN2/2b2Rc2/9/9/4p4/5p3/2rcK1p2 w
4步杀4364,3rk4/R3a4/4ba3/1N7/9/9/4r4/4C4/3p5/2BA1K1R1 w
4步杀4365,4k3N/3Ra4/3ab1R2/2C6/9/9/4p4/B8/1p1pA4/rrBAK4 w
4步杀4366,5Rb2/3ka1N2/3ab4/9/9/3R5/1r7/4B4/4r4/c2K1CB2 w
4步杀4367,1Rb1ka3/4a4/2N1b4/3R5/9/2C6/2p6/4B4/4rr3/3K1ABc1 w
4步杀4368,1RC2kb2/3ra1N2/4ba3/5R3/9/9/9/5A3/1cc1A3r/5K3 w
4步杀4369,4kabC1/4aR3/4b2R1/7N1/9/9/9/2p1r4/3K2c1r/4p2c1 w
4步杀4370,2b2k1r1/3R5/b3R4/1n3N2C/4p4/9/9/5p1r1/4p4/5K3 w
4步杀4371,3R1a3/4k4/1r2b3c/7r1/3N5/6C2/9/3RBA3/4AK1n1/9 w
4步杀4372,2r1k4/5R3/b4N1rb/9/6n2/5C3/9/5pc2/4p4/5K1R1 w
4步杀4373,5R3/9/4k4/4N4/4c2rC/9/4R4/5p3/4p1cnr/5K3 w
4步杀4374,2bR1R3/5N2C/4k4/3n5/2b1r4/9/5c3/4p4/5p3/1r1cK4 w
4步杀4375,1n1ak1b2/4a4/4b4/9/3RN4/6n2/3R5/4CA3/4AK3/6r1r w
4步杀4376,2b1ka1n1/4a4/4b4/9/4NR3/2n6/5R3/3AC4/3KA4/r1r6 w
4步杀4377,2b6/1R2akN2/n3ba3/1R7/4rn3/9/9/5C3/1p2r4/2BK2B2 w
4步杀4378,3cka1n1/3Ra4/3nb4/7N1/9/6C2/9/9/1r3p2r/2R1K4 w
4步杀4379,2ba1kbc1/3Na4/6n1r/2R6/9/R8/3p5/2C2p2B/2npA1r2/3AK4 w
4步杀4380,2bR1Rcrn/4k4/5n3/5N3/2b5C/9/9/5p3/4p4/1r1c1K3 w
4步杀4381,3R3c1/4k4/3N4n/1n7/r1b3bc1/1R3p3/5C3/3p5/4p1r2/3K5 w
4步杀4382,1c1R4r/5k3/4R2C1/2pcNnp2/6n2/9/5r3/5p3/4p4/5K3 w
4步杀4424,3a1k2C/2R1a2R1/4b3N/8p/2b6/9/9/2r1C3B/4A1p2/2n1KAB1c w
4步杀4425,4kab2/4aR2C/R3b3N/1n5C1/9/5nB2/9/8B/3p1pr1c/3cK4 w
4步杀4426,2Ck1a3/2R1aR3/9/r4N3/r8/9/9/3C5/4p4/3K1p3 w
4步杀4427,1CrNkab2/r3a2R1/4c3b/9/9/5R3/9/7C1/9/3K5 w
4步杀4428,1c1k5/4R4/4N4/4rC3/9/6Rr1/9/6C2/4p4/5K3 w
4步杀4429,5k1c1/4R4/4N4/3Cr4/9/1rR6/9/2C6/4p4/3K5 w
4步杀4430,1CrNkab2/r3a2R1/4c3b/9/9/5R3/9/7C1/4p4/3K5 w
4步杀4431,2bak4/C3a2NR/4b4/9/6p2/1C2c4/9/4B4/1r2A1c2/3RKAr2 w
4步杀4432,2Ck1a3/2R1aR3/9/5N3/r8/r8/9/3C5/4p1n2/3K5 w
4步杀4433,3a1kC2/3Ra1R2/9/3N5/8r/8r/9/5C3/2n1p4/5K3 w
4步杀4434,4kC3/3Rn4/3C4c/Nr1R5/9/9/9/4p4/6r2/4K4 w
4步杀4435,2b1k4/1C3R3/n3b4/6N2/9/9/9/1R7/3p2rr1/1C2K3c w
4步杀4436,2ck4N/4a4/5a2b/4R2Cn/6b2/2R6/3rp4/B3B4/4r4/1C3K3 w
4步杀4437,2ba1a1nC/4k1NR1/2c6/4p2R1/6C2/9/9/3p5/7r1/3K1prc1 w
4步杀4438,2r1k4/5R2C/b4N1rb/9/5n3/5C3/6n2/5p3/4p4/5K1R1 w
4步杀4439,3aka3/3R5/b5N1b/C1p3C2/9/n3p4/2r1c1r2/1Rn1B4/4A4/4KA3 w
4步杀4440,3aka3/3R5/b5N1b/C1p5C/9/n3p4/2r1c1r2/1Rn1B4/4A4/4KA3 w
4步杀4441,r1b1k3C/4c4/b3R4/2N6/5n1r1/5n3/4C1c2/9/4p1p2/1R3K3 w
4步杀4442,4k1b1c/2R4C1/5a3/2p2N3/2n3nc1/9/1rr6/2C6/3pp4/5KR2 w
4步杀4443,2cR1R3/9/4kn1nC/2p1N1p1r/2b3b2/5r3/9/3c1p3/4p4/4CK3 w
4步杀4462,5a2R/5nC2/3k1a3/2N3pN1/9/9/9/9/1c2p1p2/3p1K2R w
4步杀4463,2N1R3c/1CN1a3r/3k5/4n1R2/9/3n5/9/3p5/4p4/3K5 w
4步杀4464,5Nb2/1N2k2C1/1n3a3/3cpRp2/9/9/1r7/9/2p1p4/3K1Rr2 w
4步杀4465,2bak4/1R2a4/4R2nn/7CN/4N4/9/9/5p3/2rc4r/5K3 w
4步杀4466,1N1k3n1/4a4/1n7/1R4N2/2C6/9/9/4Rp1r1/6p2/r3cK3 w
4步杀4467,2R1nN3/3k5/3a5/9/9/9/9/5R3/1n1r1C3/2c1KcrN1 w
4步杀4468,C1c1R1br1/5k3/2Nr3RN/2n6/2n6/9/9/9/4pcp2/5K3 w
4步杀4469,6R2/C1r1ak3/4c1R2/1N7/1npN5/6n2/4c4/9/1r2p4/1p1K5 w
4步杀4476,4k4/5R3/b2cN4/2p1N4/4p4/4C4/6r2/4cR3/2p1pr3/3K3C1 w
4步杀4477,C3kab2/3RaR3/6c2/3N2r2/1N1n5/9/9/4BC3/4A2r1/3A1K2c w
4步杀4478,1r1a2b2/2N1R4/2nk4b/2pN5/2cr5/2nC5/4cC3/9/4p1p2/5K2R w
4步杀4479,6b2/3Rnk3/2n1b1R2/6NC1/r5p2/9/7r1/3N5/2ppcCc2/2p1K4 w
5步杀4890,C4R3/3Nk4/3c1a3/9/9/9/9/9/4p1p2/5K3 w
5步杀4891,4R4/5k3/3a5/9/6N2/9/9/5n3/4p4/1pCK5 w
5步杀4892,4kab2/2NR3n1/4b4/9/9/9/9/3C1p3/4p1p2/5K3 w
5步杀4893,3N5/4k1C1c/3a5/9/9/5R3/5p3/2n2p3/4p4/5K3 w
5步杀4894,4ka2R/9/4n4/6C2/3N5/9/9/c3p4/9/2p1K1p2 w
5步杀4895,5N3/1cC1k4/5a3/3R5/9/6n2/9/3pp4/2p1p4/3K5 w
5步杀4896,3k1a3/4n4/3N5/9/9/9/5c3/R8/4p1p2/C4K2c w
