10步杀8032,5k3/4a4/8N/9/5r2n/9/6R2/9/4p4/3K2R2 w
6步杀6076,3k2b2/4a4/4b4/9/4N4/1R7/9/5p3/4p1r2/5K3 w
6步杀6077,2b6/3ka4/9/3N5/8R/9/9/3p5/r3p4/3K1p3 w
6步杀6078,2r2a3/3N1k3/5a3/9/9/4R4/3p5/9/4A3c/3K1A3 w
6步杀6080,4k4/4a4/5a3/4R4/6N2/9/9/3A5/3r1p3/4KAB1c w
6步杀6081,3a1k3/c3a3R/8b/9/8N/9/9/9/2rp1p3/4K4 w
6步杀6082,2ba1k3/4a4/4b4/9/9/1r3N3/7R1/2n2A3/4A4/4K4 w
6步杀6083,2bak4/4a4/4b4/4p4/3N5/8R/6prn/4B4/4A4/3A1K3 w
6步杀6084,4k1b2/4a4/b2a5/4R4/2N6/9/9/2n2A3/3p2r2/c1BAK4 w
6步杀6085,2b2k1NR/4a4/3ab4/9/9/9/9/2n1B4/1r2Ap3/c3KAB2 w
6步杀6086,3R1a1c1/9/2Nck4/9/9/9/1r7/9/r3p4/3K5 w
6步杀6457,3ak1b2/2R1a2N1/4b4/7N1/9/9/9/1n7/2p6/c2K1p3 w
6步杀6458,3a1k3/1N5R1/3abc3/2N6/9/9/9/1n2B4/2p1p4/c2K2B2 w
6步杀6459,2R6/4kn3/5N3/9/5N3/9/9/5pn2/4p1c2/5K1c1 w
6步杀6460,2bak4/4a4/4bc2N/7N1/9/6R2/9/9/3p5/1r1AK4 w
6步杀6461,4kab2/4a4/N2cb4/1N7/9/2R6/9/9/5p3/4KA1r1 w
6步杀6462,9/4k4/4b4/4NcR2/4N4/9/9/1r1p5/4p4/3K5 w
6步杀6463,3a1a3/3k2N2/2N3R2/9/3c5/9/3r5/3p5/4p4/3K5 w
6步杀6464,3ak4/9/4N2r1/1n2p1N2/9/8R/9/4B4/3p5/4K4 w
6步杀6465,4ka3/1r2a4/n3N4/9/4R1N2/9/9/9/5pc2/4K4 w
6步杀6466,2bak4/4a4/4bc2N/7N1/9/6R2/9/6n2/2r2p3/4K4 w
6步杀6467,4ka3/1N2aR3/N8/9/9/9/9/4B3n/4A1pr1/2BA1K2c w
6步杀6468,3ak1b2/3Ra2N1/4b4/7N1/9/9/2n6/1r2B4/4Ap3/3K1ABc1 w
6步杀6469,3R5/2c6/5kN2/9/3N5/9/6nr1/5p3/4p4/5K3 w
6步杀6470,6R2/3k5/3c2N2/3N5/9/9/9/3p5/1r1np4/3K5 w
6步杀6471,3ak4/9/c3N4/3np1N2/9/9/9/8R/3r1p3/4K4 w
6步杀6472,2b6/9/b3ka2R/N8/4N4/9/9/2nABAn2/3r1p3/4K4 w
6步杀6473,4k1r2/9/5a3/1NNR5/6r2/9/9/3n5/4p4/5K3 w
6步杀6474,3a2b1N/5k3/3Nb4/9/9/3R5/n8/4B4/1r2r4/c2K2B2 w
6步杀6475,1r3ab2/3k1N2N/3ab4/9/9/3R5/4n4/4B4/4p2r1/2B2K2c w
6步杀6476,4R4/5k3/2na1NN2/9/9/1rccp2r1/4p4/4p4/4n4/4K4 w
6步杀6477,2r6/4RN3/3k5/2pN2p2/1nb6/9/9/2ncc4/2p2p3/3K1p1r1 w
6步杀6710,4ka3/R3a4/b2rb4/7N1/9/9/9/3AB4/4pp3/1R1K5 w
6步杀6711,2b6/5R1N1/3k5/9/9/9/9/4p4/r2p1pR2/4K4 w
6步杀6712,6b2/1N1R5/5k3/9/9/9/9/4p4/2Rp1p2r/4K4 w
6步杀6713,6b2/1N1R5/5k3/9/9/9/9/4pA2B/2RpAp2r/4K4 w
6步杀6714,4kab2/4a4/6c2/4p4/3N5/3R5/9/5p3/4p2r1/1R3K3 w
6步杀6715,2R2a3/3ka4/4b1N2/7R1/3c5/4c3r/9/B4p3/9/2BAKA3 w
6步杀6716,2b6/5R1N1/3k5/9/9/9/2n6/4B2R1/2r2p3/4K4 w
6步杀6717,6b2/1N1R5/5k3/9/9/9/6n2/1R2B4/3p2r2/4K4 w
6步杀6718,3ak4/4a4/9/9/6NRR/3p5/4p4/2n6/6r2/2B1KA3 w
6步杀6719,2baka3/7R1/4b4/4p1pN1/9/1R7/9/9/1nr1p4/3K1A3 w
6步杀6720,3akab2/1R7/4b4/1Np1p4/9/7R1/9/9/4p1rn1/3A1K3 w
6步杀6721,3k5/4aN3/2R2a3/5n3/9/2R6/9/Br7/6p2/c4K3 w
6步杀6722,5k3/3Na4/3a2R2/3n5/9/6R2/9/7rB/2p6/3K4c w
6步杀6723,2ba1k3/3Ra4/4c2R1/9/5N3/9/9/6n2/3p1r3/3AKA3 w
6步杀6724,3a1k3/4a4/4c2R1/4N4/6b2/9/4p4/3RB1n2/4Ar3/4K1B2 w
6步杀6725,3k1a3/4a4/1R2c4/4N4/2b6/9/4p4/2n1BR3/3rA4/2B1K4 w
6步杀6726,3k1ab2/4a4/1R2c4/4N4/2b6/9/4p4/2n1BR3/3rA4/2B1K4 w
6步杀6727,2bak4/4a4/2c6/4p4/5N3/5R3/3p5/3n5/4r4/3K3R1 w
6步杀6728,4kab2/4a4/6c2/4p4/3N5/3R5/5p3/5n3/4r4/1R3K3 w
6步杀6729,2ba1k3/4a1R2/4c1Nrb/9/9/2R6/9/9/2np1p3/4KA3 w
6步杀6730,2ba1k3/4a1R2/4c1Nrb/9/9/2R6/9/6p2/3p5/2BAK1n2 w
6步杀6731,2ba1k3/4a1R2/4c1N1b/9/6r2/2R6/9/6p1B/3p5/2BAK1n2 w
6步杀6732,3k1ab2/4aR3/1R2c4/N8/6b2/3c2B2/r6n1/4B4/4A4/4KA3 w
6步杀6733,3k1a3/4aR3/4c4/4N4/9/9/1R7/4B1n2/3rAp3/4K3c w
6步杀6734,3k2b1r/5R3/4b4/n2c1R3/9/1N7/9/4BA3/3p1p3/c1BAK4 w
6步杀6735,1R1a1a3/4k4/9/9/R8/6N2/3n5/4B1n2/3r5/3AK1B2 w
6步杀6736,1n1a1a3/3k2c2/4RN3/5r3/6pR1/9/9/2n6/3p5/4KA3 w
6步杀6737,3a1a1n1/2c2k3/3NR4/3r5/1Rp6/9/9/6n2/5p3/3AK4 w
6步杀6739,2ba1a3/5R1N1/b2k5/9/9/9/9/4p4/1r2A2r1/3AK1R2 w
6步杀6740,2ba1k3/4a4/4N4/9/9/9/9/3RB1r2/2p1A3r/4KA1R1 w
6步杀6741,2ba1k3/4a4/b3N4/9/9/9/3R5/5r3/3p1pr2/4K2R1 w
6步杀6742,3k1ab2/4aR3/1R2c4/4N4/9/4r4/9/9/3rAp3/2B1KAB2 w
6步杀6743,5a3/4k2rr/b1R2R3/2c1pc3/5N3/9/9/3p5/2p1p4/3K5 w
6步杀6744,2b3n2/1R7/4k4/9/2b3R2/2N6/9/9/4p1rr1/5K3 w
6步杀6745,r5n2/1R7/4k4/9/2b2R3/2N6/9/B8/4p1r2/5K3 w
6步杀6746,3k2b2/1nR3R2/4b3c/N8/9/9/9/9/2rp1r3/4K4 w
6步杀6747,2baka1R1/5rN2/n3b4/9/9/3c5/9/2p6/4r4/3K4R w
6步杀6748,3k2b1r/5R3/4b4/n2c1R3/9/1N7/9/4BA3/3r1p3/2BAK4 w
6步杀6749,2bak4/4arN2/4b4/7R1/9/9/3R1p3/4B4/4AK1n1/2BAr3c w
6步杀6750,2rc2b2/4ak1nc/3a4b/3NR4/9/9/9/9/3r1p3/4K2R1 w
6步杀6751,3a1a3/3k3c1/1n2RN3/5r3/8R/9/2n6/9/3r1p3/2c1K4 w
6步杀6752,2ba4r/5k3/7n1/1n6c/2b3N2/3R2R2/9/9/1rp1p1p2/3K2c2 w
6步杀6901,3a1k3/3Ra4/4b4/8N/1N1R5/9/9/4BA2n/5K2c/2BA3r1 w
6步杀6902,3k1a3/4aR3/4b4/N8/5R1N1/9/9/n2AB4/c2K5/1r3AB2 w
6步杀6903,5a3/3ka4/3cRNN2/9/9/8R/9/3rB4/4pn3/5K3 w
6步杀6904,5a3/3ka4/3cRNN2/9/9/8R/9/4Bn3/3r1p3/4K1B2 w
6步杀6905,3a1k3/3Ra4/4b4/8N/1N1R5/9/9/4BAn2/5p1r1/2BAK3c w
6步杀6906,5a3/3ka4/3cRNN2/9/2p6/8R/9/3rB4/4pn3/5K3 w
6步杀6907,2b2a3/3ka4/b2cRNN2/9/2p6/8R/9/3rB4/4pn3/5K3 w
6步杀6908,3a1k3/4aN3/8c/2R1N4/6b2/3R5/9/4B4/4r2r1/2B2K3 w
6步杀6909,3k1a3/3Na4/c8/4N1R2/2b6/5R3/9/4B4/1r2r4/3K2B2 w
6步杀6910,1R3ab2/3ka1N2/N8/3r5/6b2/9/9/4B4/c3p1r2/1RB2K3 w
6步杀6911,3k1a3/3Na4/c8/4N1R2/2b6/5R3/9/4B4/1r2rn3/2BK5 w
6步杀6912,3a1k3/3Ra4/4b4/3R4N/1N7/9/9/4BA2n/5r1r1/3AK3c w
6步杀6913,3ak1b2/9/5a1N1/2nRp4/3R1N3/9/9/3AB4/1rr2p3/3K1AB1c w
6步杀6914,2bakn1R1/1N2a4/4b4/p2R4p/9/9/9/9/r1p1A2Nr/1cBAK1B2 w
7步杀6079,5a3/4ak2r/6R2/8p/9/9/9/B4N2B/4K4/3c5 w
7步杀7098,3k1a3/4a4/9/6pc1/N8/2R6/8n/4B4/4p4/5KB2 w
7步杀7100,6b2/R3ak3/9/5N3/6c2/9/1r7/2p6/4A4/3K1A3 w
7步杀7101,4ka3/9/5a3/2R1p4/6N2/9/9/3A5/3r1p3/4KAB1c w
7步杀7102,4ka3/9/5a3/4p4/6N2/4R4/9/3A2n2/3r1p3/2B1K1B2 w
7步杀7103,2bk1a3/1NR1ac3/4b4/9/9/9/9/n3B4/5p3/1r1AK1B2 w
7步杀7104,9/4k4/5RN2/9/9/9/9/4B4/4r1r2/5KB2 w
7步杀7353,4kab2/9/3abR3/1N1N5/9/9/9/7r1/3p5/4K1p2 w
7步杀7354,2b6/3ka2R1/5a3/N8/6N2/9/9/4Bp3/3r5/c4K3 w
7步杀7355,5a3/3k3N1/1R1cba3/6N2/2b6/9/9/5r3/4p4/3K5 w
7步杀7356,3k2N2/4a4/2Ra5/7N1/9/9/9/B4p2B/2p3r2/4Kc3 w
7步杀7357,2b6/3ka2R1/5a3/N8/6N2/9/9/4Bp3/3rp4/c4KB2 w
7步杀7358,3k1a3/2R1a4/9/6p1c/1r1NN4/6B2/9/3A2p2/4K4/5AB2 w
7步杀7359,4kab2/9/3ab4/1N1N5/9/5R3/9/2n6/3p3r1/4K4 w
7步杀7360,9/2N2k3/5a3/3R1N3/6b2/9/9/2n1B4/5p2r/2B1K4 w
7步杀7361,2b6/3ka2NR/5a3/N8/9/9/7p1/2n1B4/3p3r1/c3K4 w
7步杀7362,1N6n/4k4/5R3/4cN2c/9/9/9/5p3/4p3r/5K3 w
7步杀7363,2b1k4/9/9/5RNN1/9/3r5/9/3p5/r3p4/3K5 w
7步杀7364,2R2a3/4a4/3k2N2/2N6/2cc5/9/9/9/rr7/3K5 w
7步杀7365,n1c6/9/2RN1k3/4pNp2/9/9/6r2/4r4/4p4/3K5 w
7步杀7366,6R2/4k4/2na1NN2/9/9/1rccp2r1/4p4/4p4/4n4/4K4 w
7步杀7492,3ak4/4a4/4b4/9/3N3R1/9/3p5/8R/r3p4/3K5 w
7步杀7493,3ak1b2/4a4/4b4/9/4N4/1R7/9/5p3/4p1r2/3R1K3 w
7步杀7494,3ak4/3Ra4/b5N2/1R2p4/9/9/9/9/5p1r1/3AK4 w
7步杀7495,2b2a3/3ka1R2/9/3N5/8R/9/9/3p5/r3p4/3K1p3 w
7步杀7496,3rka3/4a4/4b4/1R1N5/9/3p1R3/9/9/2p1p4/3K5 w
7步杀7497,3ak4/4a4/4b4/9/4N4/1R2R4/9/3A2n2/3r1p3/4K4 w
7步杀7498,2r1R4/3k2N2/bc7/9/9/2R6/9/4B1n2/5p3/4KA3 w
7步杀7499,2r1R4/3k2N2/bc7/9/9/2R6/9/4B1n2/3p1p3/3AK4 w
7步杀7500,N1R2a3/2R1a4/3k5/9/2b6/5r3/5p3/8B/4AK1n1/7pc w
7步杀7501,2b1k4/6R2/2n1n4/7N1/9/5R3/9/2rp5/6c2/3K1p3 w
7步杀7502,6b1R/9/4k1N2/9/9/5R3/9/3p5/r7r/3K5 w
7步杀7504,3ak4/4a4/4b4/9/3N3R1/9/8R/3pB4/1r2r4/2BK5 w
7步杀7505,5a3/5k1rr/b1R1R4/2c1pc3/5N3/9/9/3p5/2p1p4/3K5 w
7步杀7506,1n1ak4/1r2a4/b5R2/3N5/2b6/9/9/3p5/4p3r/3K3R1 w
7步杀7507,3a2R2/4a1R2/5k3/9/2r1c4/5n2N/9/3p5/8r/3K5 w
7步杀7508,2b1k4/1n3n2R/5N3/6p2/2rc1R3/6r2/9/5p3/4p4/5K2c w
7步杀7509,3k2r2/1R7/3ab2nr/2p1N4/n8/9/9/3R1p3/c1c1p1p2/5K3 w
7步杀7609,3N5/3k1N3/6R2/6p2/6b2/9/9/3n5/4p4/r1c2KR2 w
7步杀7610,3aka3/5N3/5R3/9/7R1/5N3/2n1r1pc1/4B4/4K1n2/2B4c1 w
7步杀7611,3a1k3/4a4/6R1N/1N3r2p/8n/9/9/4B4/2p1r4/2BK2R2 w
8步杀6073,2ba1ab2/4k4/9/9/5N3/9/9/1R2B3B/4r4/5K3 w
8步杀7724,RN1k5/4a4/2c1ba3/9/7r1/9/9/6p2/4AK3/3A5 w
8步杀7725,3ak4/9/9/p6N1/9/9/8R/9/2p1r4/2B2Kc2 w
8步杀7726,3ak4/9/9/p6N1/9/9/9/8R/2p1r4/2B2Kc2 w
8步杀7727,2ba1k3/4a4/4b4/5N2R/6p2/9/2r6/2n6/3pA4/4KA3 w
8步杀7728,RN1k2b2/4a4/2n1ba3/9/9/6B2/9/3AB1n2/3p3r1/4K4 w
8步杀7729,3k1a3/4a4/9/5r3/N8/2R6/5r3/4B4/4Ap3/4KAB2 w
8步杀7730,3ak1bR1/4a4/4b4/2pN5/9/6B2/2r3r2/4B4/4A4/3AK4 w
8步杀7731,8r/4a4/3k5/2R6/3N5/4c4/9/9/r2p1p3/4K2c1 w
8步杀7922,1N1aka3/9/6R2/5N3/3c5/9/3r5/3p5/4p4/3K5 w
8步杀7923,3k5/4aN3/1R2b4/2N3c2/2c6/9/9/5p3/4p1r2/5K3 w
8步杀7924,3R5/2c1k4/9/4N4/9/9/2N3nr1/5p3/4p4/5K3 w
8步杀7925,6R2/2Nck4/9/4N4/9/9/9/3p5/1r1np4/3K5 w
8步杀7926,2b6/3k2N2/3a5/3N1R3/6b2/2B6/r8/3AB4/7rc/3K1A3 w
8步杀7927,2R2a3/3ka4/4N1N2/9/2cc5/9/9/9/rr7/3K5 w
8步杀7928,6R2/3k5/2na2N2/9/4N4/1rccp2r1/4p4/4p4/4n4/4K4 w
8步杀8030,2ba1aR2/3k5/9/3N5/8R/9/9/3p5/r3p4/3K1p3 w
8步杀8031,3ak4/c3a3R/5c1Rb/9/8N/9/9/9/2rp1p3/4K4 w
8步杀8033,4ka3/R3a4/b3b3N/3r5/9/6n2/9/3A5/4p4/1R1K5 w
8步杀8034,3rkab2/4a4/4b3n/1N7/9/1R7/9/5p3/4p4/1R3K3 w
8步杀8035,3ak4/4a4/9/9/6NRR/9/3ppn3/2n1B4/3r5/2B1KA3 w
8步杀8036,5a3/4k2rr/b1RR5/2c1pc3/5N3/9/9/3p5/2p1p4/3K5 w
8步杀8037,5k3/4a4/8N/9/5r2n/9/6R2/4B4/4r4/3K2R2 w
8步杀8038,3rkab2/4a4/4b3n/1N7/9/1R7/9/5p3/4r4/1R3K3 w
8步杀8039,7r1/9/r3k4/9/3R2p2/6N2/9/5n3/4p4/3K4R w
8步杀8120,3ak4/3RaR3/8N/6N2/9/9/9/B1c6/1r2A4/c2K1A3 w
8步杀8121,3a1k3/4a4/N5R1N/5r3/8n/9/9/4B4/1r2p4/2BK2R2 w
8步杀8122,2ba1kr2/3Na1R2/4b4/9/1N7/6R2/9/n3B4/4r4/c2K2B2 w
8步杀8123,2ba1kr2/3Na1R2/4b4/9/1N7/6R2/9/n3B4/1r2p4/c2K2B2 w
8步杀8229,4k1c2/4a4/4R4/9/4N4/9/7p1/9/6r2/4K3c w
9步杀7099,9/4k4/5RN2/9/9/9/9/4B4/4p1r2/5KB2 w
9步杀8225,2ba2b2/6R2/4ka3/5N2p/9/9/3pp4/4B4/4pp3/3K2B2 w
9步杀8230,5k3/4a4/9/9/5N1R1/5r3/9/3A5/5r3/3AK1B2 w
9步杀8231,5k3/4a4/9/9/5N1R1/9/5r3/3A5/3p1r3/4K1B2 w
9步杀8409,9/4k2N1/2Rn5/9/5N3/9/9/5pn2/4p1c2/5K1c1 w
9步杀8410,1N1a1a3/4k4/3N2R2/9/3c5/9/3r5/3p5/4p4/3K5 w
9步杀8411,5Rc2/4k4/5N3/2p2N1c1/9/9/9/3p5/2r1p4/3K5 w
9步杀8412,9/2N2k3/5a3/3R5/2b5N/9/9/4B1n2/r2p5/4K1B2 w
9步杀8413,9/2N2k3/5a3/3R5/2b5N/2B6/9/4B1n2/r2p5/4KA3 w
9步杀8414,4ka3/4a4/b7b/NNR6/9/5n3/9/9/4A3c/1rcK1AB2 w
9步杀8415,9/2Nk5/5a1N1/1R7/2b6/9/9/2nAB4/r4pn2/4KA3 w
9步杀8417,3k1a3/2R1a4/4N1N2/9/2cc5/9/9/9/rr7/3K5 w
9步杀8418,3k2r2/1c7/5a3/1NN1R4/6r2/9/9/3n5/4p4/5K3 w
9步杀8419,n1c1N4/4k4/5R3/4pNp2/9/9/6r2/4r4/4p4/3K5 w
9步杀8492,3k1a3/2R1a4/9/2RN5/9/9/4c4/9/3p1r3/4K4 w
9步杀8493,3k2r2/1R1naR3/4N4/9/9/9/9/9/3p5/3AK3c w
9步杀8494,3k1a3/2R1a4/9/2RN5/9/9/9/4cAn2/3p1r3/3AK4 w
9步杀8495,3a5/4a2R1/4bk3/2R1N4/2c6/9/2n6/2rA5/3KAp3/9 w
9步杀8496,2ba5/4a4/n4k3/3RR4/6b2/1N7/9/4BA3/4p2rc/5KB2 w
9步杀8497,2ba5/4a4/n4k3/3RR4/6b2/1N7/9/5A2B/2n3rp1/2B2K2c w
9步杀8498,3aka3/1R7/4b4/4N4/9/5R3/2r6/4B4/3r5/3AK4 w
9步杀8499,4ka1R1/1r2a4/4R4/3N5/2b6/9/9/4B4/3r1p3/2B1K4 w
9步杀8500,3k2r2/2RcaR3/b3N4/9/9/9/9/9/3p3r1/3AK4 w
9步杀8501,3k1ab2/2R1a4/2R6/3N5/9/5r3/9/5n3/4r4/5K3 w
9步杀8502,2ba1kb1N/4a1R2/6R2/9/9/9/9/2n6/3rA4/2rAK4 w
9步杀8505,4ka1R1/1r2a4/4R4/3N5/2b6/9/9/2n1B4/2pr1p3/2B1KA3 w
9步杀8506,1R4r2/3ka4/4b2nr/2p1N4/n8/9/9/1R3p3/c1c1p1p2/5K3 w
9步杀8576,2bk5/4aR3/1N2R4/9/4p1N2/9/9/3A2n2/3p5/4KA1rc w
9步杀8577,3akan2/5N3/5R3/9/7R1/5N3/2n1r2p1/4B4/3p2p2/2B1K2c1 w
