1步杀353,5a3/3kaP1C1/9/7R1/9/9/2n6/5K3/4r4/9 w
6步杀6028,4k4/4a3R/4Pa3/7C1/4p4/9/9/2r1BA3/4Ar3/2BK5 w
6步杀6029,4k4/4a3R/4Pa3/7C1/4p4/9/9/2r6/4pr3/3K5 w
6步杀6030,5a3/4k4/5PR2/9/9/9/2n6/3K5/2r6/1r5C1 w
6步杀6031,3a5/4ak3/9/8R/5P3/2n6/9/3r5/8C/2rAKA3 w
6步杀6032,4k4/3Pa4/3a1P3/4p4/6CR1/9/9/4p4/3p1p3/4K4 w
6步杀6033,5ab2/3k1P3/3ab1n2/2PR5/c8/4C4/9/4B1n2/3p1p3/3AKABc1 w
6步杀6034,r2ak4/3Pa4/4bP3/p1C6/9/4R4/9/9/3pA1p2/2B1KAB2 w
6步杀6035,2b5R/2PPa4/3ak4/9/4r1p2/4p1B2/7C1/3A1A3/1p3p3/2BK5 w
6步杀6036,4kaP2/c2Pa3R/4b4/9/9/9/4C4/4BA3/1rp1Ap3/2B1K4 w
6步杀6037,9/4aP3/3kba3/2P6/6b2/9/6C1R/B2c5/1p2p4/1rBA1K3 w
6步杀6038,2bakaRC1/3P5/2P1b4/9/9/6B2/9/5Ar2/3p5/1cBAK3c w
6步杀6039,r2k1ab2/2P1aP3/2c1b1c2/p3R4/9/9/9/3A4B/2C6/4KAB2 w
6步杀6040,3ak4/4a1P2/9/2p1R2Cp/6p2/2B6/1r4P2/2nA5/3pA4/5KB2 w
6步杀6041,2ba1c3/4ak3/6PP1/9/4Cr3/3R5/8n/5A2B/3KA4/6B2 w
6步杀6042,2C3R2/2P6/4k2c1/5P3/9/9/9/4p4/1r5r1/4K4 w
6步杀6043,3a1k2c/r2PP4/5an2/8n/9/9/1C7/5A1R1/3p1r3/4K4 w
6步杀6044,3rnrb2/2Pck1P2/9/9/2pR2p2/9/9/5A3/5npp1/3ACK1p1 w
6步杀6045,4kc3/3PaP3/3a4b/4P3R/2p3b2/7C1/2r1p4/1ppAB4/1n2A4/2B1K4 w
6步杀6055,4k1b2/3Pa4/4ba3/9/9/5R1CC/5p3/2p1Bp3/4r4/3K5 w
6步杀6056,2C1k4/3P5/3a5/9/9/1R7/9/1C7/2p1pr3/3K3c1 w
6步杀6057,2C1k2c1/3P4c/3a5/9/9/9/9/1R7/4pr3/1C1K5 w
6步杀6058,4k1b2/4aP3/3a5/R1C6/9/2n6/9/9/2c1p1r2/2C2K3 w
6步杀6059,2bak4/4a4/4b4/4C4/p6r1/2PR5/c1n6/1C2B4/4A4/3AK1B2 w
6步杀6060,3k5/2P1r1R2/3C5/9/9/3p5/5p1r1/3C1p3/4p4/5K3 w
6步杀6061,2b2k3/4P4/c3b4/9/6n2/9/ppC2C3/5R3/1rr6/2B1K4 w
6步杀6062,3ak1CR1/2P1a4/b3c4/9/6p2/9/9/2n1B4/1C1pArr2/2BAK4 w
6步杀6063,3ak1b2/3P2P2/3ac4/9/1R7/2C6/4p3C/5A2B/3pA2r1/5KB2 w
6步杀6064,3a3R1/3C5/3akc3/4CP3/5Pp2/9/9/9/4p4/5K1cr w
6步杀6065,3a1a2C/4k1P2/9/6P2/6p2/6cR1/9/9/1rp1p2C1/c2K5 w
6步杀6066,3a1R2C/4k1P2/9/6P2/6n2/9/9/1r3p3/4p2C1/5K3 w
6步杀6067,3a1a2C/4k1P2/9/6P2/6n2/7R1/9/1r3p3/4p2C1/5K3 w
6步杀6068,CCba1k3/3Pa4/4b2R1/4p3p/9/6P2/9/2n1B4/6r2/2BAK3c w
6步杀6069,C1b6/1RCka4/5a3/p1p1p4/3P5/9/2P1P4/4BA1rc/c1p1A2pn/2B2K3 w
6步杀6070,3C1C3/3PPP3/1P2k1cPr/4r1p1c/4Rn3/9/9/5p3/4p4/5K1p1 w
6步杀6619,4k4/9/9/4P4/4p4/8R/CRp1p4/3K5/1r7/5n3 w
6步杀6620,4k4/9/9/4P4/4p4/R8/4p1pRC/5K3/7r1/3n5 w
6步杀6621,3ak4/7R1/1PC2R3/6p2/2b6/3n5/9/3p5/1r2p4/3K5 w
6步杀6623,2bakaR1C/7R1/2P1b4/9/9/9/9/9/c1nr1p3/4K4 w
6步杀6624,3aka1RC/6R2/2P1b4/9/2b6/9/9/9/1cnr1p3/4K4 w
6步杀6625,3a1k3/4anP2/9/9/9/R8/R8/8B/2nr1p1c1/C2AK1B2 w
6步杀6626,R2ak4/2Pca4/4b1ncb/4C1R2/2r2n3/9/9/4p4/4A4/3K1A3 w
6步杀6627,3k5/4a3C/2Pab4/p6R1/2b4R1/9/9/r3B4/3rA4/3A1KB2 w
6步杀6628,2bakaR1C/7R1/4b4/3P5/9/9/1r7/2r6/3p1p3/4K4 w
6步杀6629,3ak4/R3a1P1R/b3b4/1C7/4c4/9/9/4BA3/2r1A1r2/2B1K4 w
6步杀6630,3ak4/R3a1P1R/b3b4/C8/9/9/9/9/2r2pr2/c3K4 w
6步杀6631,2baka3/9/3rc2R1/p1p6/9/4r4/P5R1C/4B4/4A4/2BAK4 w
6步杀6632,1r4r2/3ca4/4k4/2pc1P3/9/9/9/9/5K1n1/5R1RC w
6步杀6633,2r4r1/4ac3/4k4/3P1cp2/9/9/9/9/1n1K5/CR1R5 w
6步杀6634,3k1a3/2Pna4/9/9/9/8R/8R/9/3p1rn2/rc2K3C w
6步杀6635,c1b1kaP2/3Ra4/4c1P2/7R1/9/9/9/1C2B4/1r2p4/2BK5 w
6步杀6636,C2k5/2P2P3/n2a5/p3p4/6b1p/R5B2/2R6/4KA2B/2p6/c7r w
6步杀6637,r2k1a3/1PP4R1/3a5/9/9/7CR/9/5n3/4r4/3K1c3 w
6步杀6638,3k1ab2/R3a4/2cnb3c/p6Cp/2p6/6P2/P4R2P/4B4/4p4/3p1KBn1 w
6步杀6639,4ka1R1/9/b2ab4/p2r1Cp1p/5R3/6P2/P7P/4B4/3pA4/1c2KAB2 w
6步杀6640,2n1k3P/4aP3/3aP1CRn/2r6/9/5c3/9/3p5/4p4/3K3R1 w
6步杀6641,3aka3/1n1P5/2R5b/6R1p/p8/2C3P2/1cn2r2P/4B4/4A4/c2K1AB2 w
6步杀6642,r1b1ka3/4aP3/4b3r/p2PC4/8p/9/3R4P/4B4/4A4/1RB1KA3 w
6步杀6643,4kab2/r1P1a4/1r2b4/p2RC3p/2p6/6P2/P6n1/5A3/4Ap3/R1B1K4 w
6步杀6676,3aka3/9/9/9/2R6/2C1P4/9/CR2c3p/3p1p3/2p1K4 w
6步杀6677,3aka3/9/9/9/6R2/4P1C2/9/p3c2RC/3p1p3/4K1p2 w
6步杀6678,4k4/2R1a2n1/b8/4p1P2/9/8R/8C/8C/2np1p3/1cBAKA3 w
6步杀6679,4k4/2R1a2n1/b8/4p1P2/9/8R/8C/8C/1cnp1p3/2p1K4 w
6步杀6680,3aka3/3P5/8R/4r3C/6C2/6R2/9/4p4/3p1p3/4K4 w
6步杀6681,3aka3/3P5/7R1/4r2C1/6C2/6R2/9/3p1n3/4p4/3K5 w
6步杀6682,3aka3/3P1n3/RR2b4/4p4/1Cb4C1/8r/4p4/5A2B/3pA1p2/4K1B2 w
6步杀6683,3k1a2n/4a4/2R6/7PC/9/9/9/3p2C2/1r2p4/3K1cR2 w
6步杀6684,2b6/3kaR3/2na2n2/3RP4/6C2/3C5/3rc4/4B4/2p1A1p2/3AK1B2 w
6步杀6685,2b1ka3/1R1Pan3/c8/4n4/4p4/1CC3R2/9/B3B4/2r1p4/c4K3 w
6步杀6686,r2aka3/3P5/8R/4r3C/6C2/6R2/9/3p5/4p4/3K1p3 w
6步杀6687,4kab1r/4a1P2/4b4/CR2R4/8r/2C6/9/9/c3p4/5K3 w
6步杀6688,3k1a3/2R1a1r2/b2c5/3R5/6C1C/9/8P/3A4B/3p1p3/4KA2r w
6步杀6689,3r1k3/C5P2/b4a3/CR2R4/9/9/9/2n6/5pr2/4K4 w
6步杀6690,3r1k3/C5P2/b4a3/CR2R4/9/9/9/2nA1A2B/5pr2/4K1B2 w
6步杀6691,5a1rr/3k5/2Pa5/1n7/9/5RC2/5RC2/9/3p1p3/2p1K4 w
6步杀6692,9/2rka4/C1cab4/2P6/6b2/8R/9/CR3A3/4A2r1/3p1KBnc w
6步杀6693,3a1kbn1/4P4/1c2nr3/4p4/9/2C5C/9/9/r1p1p4/3K1R2R w
6步杀6694,2P1ka3/4aP2C/4n1nCb/5R3/2b6/9/9/3p5/4p1r2/1R1K5 w
6步杀6695,5kb2/1c2a1PP1/4ba1Rc/3rC1R2/9/6rC1/9/9/4p4/5K3 w
6步杀6696,5kb2/1c2a1PP1/4ba1Rc/3rC1R2/9/9/6rC1/9/4p4/5K3 w
6步杀6697,1PP1kab2/1R2a4/4b3R/4C4/1C7/r8/9/2n6/3p1r3/4K4 w
6步杀6698,2Pak1bR1/CR2a1P2/9/9/9/1C7/4c4/9/2nr1p3/1r1cK1B2 w
6步杀6699,r1b1k4/c1PPaRc2/r2ab3n/4C4/7RC/9/9/9/4p4/3K5 w
6步杀6700,r1b1k4/c1PPaRc2/r2ab3n/4C4/7RC/9/9/9/2p1p4/3K5 w
6步杀6701,1RC1k1b2/3na2P1/3ab4/9/9/9/6P2/2n6/3p2rr1/2pCKR3 w
6步杀6702,3a1kb2/3Pa4/4n1r1n/4pP3/9/CC5p1/4p4/1c2BA3/rp2A4/2BK3RR w
6步杀6703,C3kab2/2R1a4/4b4/4pP2p/5c3/1R4P2/P7c/3nC1p2/3pA1r2/3A1KB2 w
6步杀6704,2bP1k2r/1nn1P4/3cbc3/9/6P1p/7RC/9/4p4/3p1R3/2pCK4 w
6步杀6705,1c7/1r3P3/2P1ka2r/2P6/9/9/RC7/1pn1B1p2/RC2c2p1/4K4 w
6步杀6706,7c1/3P3r1/r2ak1P2/6P2/9/9/7CR/2p1B1np1/1p2c2CR/4K4 w
6步杀6708,3k1ab2/1R2an3/4C4/p3p3p/1R1C5/3p2P2/P3n3P/9/2r2r3/3AKABc1 w
6步杀6709,2b1ka2r/4a4/2P1b4/pCn1C3p/4p1p2/5r3/P3P3P/4B1c2/4A4/3RKA1R1 w
7步杀3430,2rak3C/4a4/1c1cb4/p3C3p/4P4/9/P7P/4B4/4A4/2BAKR3 w
7步杀6707,2b1k4/c1PPaRc2/3ab3n/4C4/7RC/8P/9/B2Ap4/r3Ap3/2BK3pr w
7步杀7047,4k4/4aP3/c3b4/5cC2/2b3nR1/9/9/9/4p4/2B2K3 w
7步杀7049,4k4/4a4/4P3b/9/4p3r/C5p2/3R5/5A2B/2p3p2/4KA3 w
7步杀7050,2b1k4/4aP3/4b4/9/5c3/6C2/9/9/4r1p2/5K2R w
7步杀7051,2b1k4/4aP3/4b4/9/9/6C2/5c3/8R/3rp4/5K3 w
7步杀7052,3ck4/9/3abP2b/1C7/9/6BR1/9/5A3/6p1r/4KA3 w
7步杀7055,1rb1k4/4a1P2/5n3/4R4/9/9/9/3A5/9/3AK1C2 w
7步杀7056,2bk5/4aP3/2rab4/9/9/2B3R1C/9/Bn1AK4/4A4/9 w
7步杀7057,1P1k1a1n1/R8/3a5/2C6/9/9/3rp4/4p3B/3pA4/3A1K3 w
7步杀7059,3a1a3/3k5/4b4/2CP2p2/4R1b2/9/7r1/2p1B4/2n1A2p1/3A1K3 w
7步杀7060,2ba1k3/4a4/b4nP1R/9/4C4/9/2p6/2r1BApn1/2p1A4/2B2K3 w
7步杀7061,9/4ak3/9/6P2/7r1/1r7/9/C2R5/5p3/4K4 w
7步杀7062,1C2kab2/4aP3/4b3c/2R2P3/9/2B6/9/3p5/c4pn2/3AKAB2 w
7步杀7063,1C2kab2/4aP3/4b3c/2R2P3/9/2B6/9/B8/1cnp1p3/3AKA3 w
7步杀7065,4ka3/5P3/1P1a5/6R2/6C2/9/9/9/1r2p1p2/5K3 w
7步杀7067,6b2/3Pak3/3ab4/4P4/4c4/4C4/9/7R1/1r2p4/3K5 w
7步杀7069,2b1k1c2/3PaP3/4ba3/1C7/2p6/4R4/9/5A3/r6p1/3AK1B2 w
7步杀7070,2c1k4/3PaP3/3ab4/8C/9/2B3R2/3pr4/4B4/4Ap3/3AK4 w
7步杀7071,2bak3C/3Pa4/4b4/3P5/9/6R2/9/B2A5/1r1p1p3/c3KAB2 w
7步杀7072,4ka3/3Pa1P2/3n5/9/9/5R3/6C2/4B1p2/3pA3r/4KABc1 w
7步杀7073,3r5/3Pak3/2n1b4/4R1P2/8c/4C4/9/9/3p1p3/2p1K4 w
7步杀7074,5a3/4k4/4bPn2/9/3rPnb2/4C4/9/3R5/4pp3/3K1p3 w
7步杀7075,n2ak2r1/3PaP2c/9/2p1p1R1C/2b3b2/2B2n3/9/4pA3/5p3/3K1AB2 w
7步杀7076,3r5/3Pak3/2n1b4/4R1P2/8c/4C4/9/9/2rp1p3/4K4 w
7步杀7077,3a1k3/4a1P2/R3b1P2/4P4/4p4/9/9/5C3/4p1r2/3K5 w
7步杀7078,C3ka3/4aP1P1/9/2P6/9/9/9/9/2p2n2c/3RK1pr1 w
7步杀7079,2C3R2/2P1k4/7c1/4PP3/9/9/9/4p4/1r5r1/4K4 w
7步杀7080,2ba5/5k3/b3naP2/4P4/7C1/6R2/2r5P/4B3r/4A2p1/2BAK3c w
7步杀7081,3P1k3/9/4PPP2/9/2C4r1/9/9/9/2r1p4/2RK5 w
7步杀7088,4kab2/3Pa4/9/4p4/9/4n4/3RC4/4C1n2/3p1p3/2BAKAB1c w
7步杀7089,3ak4/C2C1P3/1R2ba3/9/2b6/9/4c4/4BA3/2prA4/4K4 w
7步杀7090,CRbaka3/6P2/4c3b/9/9/9/9/6nC1/3r1p3/3AKA3 w
7步杀7091,9/3kr1R2/2PC5/9/9/3p5/5p1r1/3C1p3/4p4/5K3 w
#7步杀7092,1c2k1C2/c4P3/5a3/7R1/9/9/9/9/3rr2C1/5K3 w
7步杀7093,4k4/2PPa2R1/3an3b/4p4/6b2/1C7/9/4C4/1rp1p4/3K5 w
7步杀7094,2bak4/4a4/4b4/C2R4p/n3C4/4c4/P6rP/4B4/4A4/3AK1B2 w
#7步杀7097,4ka3/2P2P3/3R1a3/4r2C1/9/9/6pC1/7p1/4r4/5K3 w
7步杀7459,3c1kb1R/9/3P5/9/2b1R4/9/4p2r1/3AB4/3pA4/4KCB2 w
7步杀7460,2bk5/1R2n4/2R1ba3/4C4/3P5/9/9/9/2p1p1r2/3K5 w
7步杀7461,3a5/4k4/1PC2R1R1/6p2/2b6/3n5/9/3p5/1r2p4/3K5 w
7步杀7462,2bk1r3/2R1n4/2R1b4/4P4/8c/8C/9/3p5/2p1p4/3K5 w
7步杀7463,4k4/3Pa1n2/5a3/7R1/6C1R/9/9/4p2c1/4pr1n1/3K3c1 w
7步杀7465,3a1k3/4a2R1/4bcr2/C8/4P4/3R5/9/9/2r1p4/3K5 w
7步杀7466,3cka1R1/5C1R1/3ab4/p8/2p6/8P/2rp5/B2A5/9/r1BAK4 w
7步杀7467,1R1a5/2P1k4/1n2b4/4c4/9/9/9/2C5R/4r1r2/5K3 w
7步杀7468,3k5/c3a4/3aP4/2P6/9/9/6R2/6R2/2rp1p3/1c2K1C2 w
7步杀7470,3a1kc1c/4P4/4b4/1C1R1P3/6b2/9/9/4B4/4pn2r/2RK1AB2 w
7步杀7471,4k4/4a4/4b4/3R5/2b6/6P2/1r2Pp3/3K3CR/4r4/2Bc2B1n w
7步杀7472,1Pn5r/4rk3/4R4/9/5P3/9/7n1/5R3/4p1p2/4CK3 w
7步杀7473,2ba1k3/2rPa4/R3b4/4cP1C1/2p6/9/3rP4/4B4/2ppA4/2BA1K1R1 w
7步杀7474,3a1kb2/4a2R1/4bcr2/C7p/2p1P4/P2R5/2P6/4B4/1r2A4/2BK4c w
7步杀7475,c2k2P2/4PP3/4P4/9/9/9/3p3RR/3p5/1nn1p3C/3K5 w
7步杀7481,3aR4/2P1ak3/9/9/9/1n5CC/3p3R1/9/1nr1p4/1p1K1p3 w
7步杀7484,2b2a3/3k2c2/2Pab4/R6CC/4c4/3R5/9/4B1p2/nr2Anr2/2B1KA3 w
7步杀7486,2b2a3/4k4/4bP3/R8/2p1p4/CR7/4c2rP/4B1C2/2r1A4/2B1K3c w
7步杀7487,2Pak4/CR2a1P2/4b4/9/1C5R1/9/9/4cA3/2nr1p3/2rcKA3 w
7步杀7488,2b2kb2/1C1Ra4/2C2a3/p1n1pP2p/7c1/P8/3Rc3P/2n1B4/4A1r2/2B1KA3 w
7步杀7489,2b3b2/4ak3/5a3/p3R1P1p/2p3r2/9/1rc1P3P/B3C2RC/4A4/c3KAB2 w
7步杀7490,r2a1k3/1R2a4/b3bc3/p3C1p1p/9/C8/P1r1c1P1P/4B4/4A4/2BAKR3 w
7步杀7491,3akab2/1R3n3/4C4/p3p3p/1R1C5/2Pp2P2/P3n3P/9/2r2r3/3AKABc1 w
8步杀3349,3ak1P2/4a4/9/R1p6/6p2/2B6/6P2/3AKA2C/9/6B1r w
8步杀7046,5k3/4a4/4ba3/3P5/6b2/9/4C4/1R3K3/4Anp2/2B2AB2 w
8步杀7053,5a1C1/3ka4/3cb4/2P6/9/9/9/2R5B/2p1A1p1r/4KAB2 w
8步杀7054,C1ba1k3/7R1/3Pba3/9/9/4p4/9/8B/2p1A2pr/4KAB1c w
8步杀7058,1r3a3/4k4/b2a1P3/6R2/4C4/9/1p7/6n2/2p1Ap3/2BAK1B2 w
8步杀7064,3ak1n2/3PaP3/4b3b/4C4/4R4/9/9/B1n1BA3/2p1A4/c3K4 w
8步杀7066,5k3/1CR1P1r2/4ba3/5P3/9/9/9/3Ap3B/6p2/3A1K3 w
8步杀7068,3a1k3/4a4/4R3b/9/PC3P3/9/r1p6/9/4A4/2BK1ABc1 w
8步杀7096,CR1ak1b2/7C1/4bP2n/9/2p6/4P1B2/c5r2/2n1BA3/2p1A4/4K4 w
8步杀7469,2bk1aP2/4P4/3a5/7R1/7R1/7C1/3rp4/1n1A5/4A2p1/4K1B2 w
8步杀7483,3a1k3/1R2a4/3nb1P2/3R4C/9/4C4/r1r6/B1p2A3/n3A4/2B1K4 w
8步杀7485,2ba3R1/2P2kC2/1P3a3/9/9/1p7/1r7/3R5/4Ar3/2CK1A3 w
8步杀7712,5a3/3ka4/bP7/9/9/9/6p1r/C8/5p3/R3K4 w
8步杀7713,5a3/3ka4/bP7/9/9/9/6pr1/C8/5p3/R3K4 w
8步杀7714,3k1a3/r1P1a4/b3b4/4C4/9/6R2/7c1/4p4/4A4/4KA3 w
8步杀7715,4k4/3Pa4/4b4/R1C6/2b6/9/9/3c5/1r2p4/3K1p3 w
8步杀7716,4kab2/3P3R1/4b1n2/C8/9/9/9/1p2BAr2/5p3/2B1K4 w
8步杀7717,5a1n1/RP1k5/3a4c/2C6/9/9/9/3rp4/3p5/5K3 w
8步杀7718,2ba1a2r/4k4/3Pb4/9/9/2C3B2/9/4B4/4p4/5K1Rr w
8步杀7719,5a3/5k3/4b1n2/5P3/3rPnb2/4C4/9/3R5/4pp3/3K1p3 w
8步杀7720,2b2ab2/4k1P2/3a5/6R2/2P1p4/6B2/9/6C2/1r5r1/3A1K3 w
8步杀7721,2R3P2/9/4k4/3P2P2/3npc3/3r2C2/3p2p2/3rnK3/9/9 w
8步杀7722,1C7/1CRPak3/4ba3/9/2b6/9/5p3/9/3pr2p1/5K3 w
8步杀7723,4CC3/3PPP3/1P1k2cPr/3r2p1c/3Rpn3/9/9/5p3/4p4/5K1p1 w
8步杀8017,3a5/9/1PC1ka1R1/5Rp2/2b6/3n5/9/3p5/1r2p4/3K5 w
8步杀8018,3k1nr2/1R3R1n1/b3b4/3P5/9/9/9/4B2C1/3ppc3/5K3 w
8步杀8019,3k2P2/4P4/4b4/5P3/9/9/7R1/3r3R1/1n1c1p3/c3K1pC1 w
8步杀8021,9/3Rak3/3a1n3/1PpP1PPR1/1P5n1/1rBp1pcp1/3C1p3/3Kcr3/9/9 w
8步杀8026,3P2C1R/4ak3/4b3b/9/2n5r/9/9/3C1p1R1/3p1r3/4K4 w
8步杀8028,2b3b2/4ak3/5a3/p3R1P1p/2p3r2/1r7/2c1P3P/B3C2RC/4A4/c3KAB2 w
8步杀8029,C3ka3/4a4/b3c1n2/p1R1p3p/6p2/2P6/P5r1P/1R2B2C1/4Ar3/2BAK4 w
9步杀7048,7R1/C2ra4/4bk2b/9/9/4P4/9/5A3/5p3/3AK4 w
9步杀7095,3akab2/5P3/4b4/6P2/6n1C/7R1/3npp3/1r1A5/4A2C1/2B2K3 w
9步杀7482,1Rb1kab2/C8/9/2pP5/4C4/4rp3/9/2pAB4/4A3r/4KRB2 w
9步杀8020,2cP5/3P1k3/8b/n5P2/4n4/1R7/1C1r2R2/4cp3/4p4/5K3 w
9步杀8213,3a1a3/3r1k3/4b4/6P2/2b6/2B6/9/9/5C3/2B1KR1rc w
9步杀8214,5a3/4a1R2/5k3/4P4/9/9/2n6/3K5/2r6/1r5C1 w
9步杀8215,3rnr3/2Pck1P2/4b4/9/2p2Rp2/9/9/9/4Anpp1/3ACK1p1 w
9步杀8216,2C6/2P1k4/6Rc1/4PP3/9/9/9/4p4/1r5r1/4K4 w
9步杀8217,2P6/4k4/3P1PP2/9/2C4r1/9/9/9/2r1p4/2RK5 w
9步杀8218,4ka3/6P2/3a5/1R4C2/4C4/9/9/9/pr2pp3/3K5 w
9步杀8219,4r4/3k1CR2/2P6/9/9/4p4/5p1r1/3C1p3/4p4/5K3 w
9步杀8220,2ca1k3/4P1r1R/4ba3/7Cp/8r/7C1/7n1/9/3p1pp2/3nK4 w
9步杀8222,3ak1CR1/4a4/b3c4/p3p3p/3n5/9/P3P4/1C4r2/9/2BAKAB1c w
9步杀8223,3ak1CR1/4a4/b3c4/p3p3p/3n5/9/P3P3P/1C4r2/9/2BAKAB1c w
9步杀8224,4CC3/3PPP3/1P1k2cPr/4r1p1c/1R2pn3/9/9/5p3/4p4/5K1p1 w
9步杀8479,3a5/4a2R1/1PC1k4/5Rp2/2b6/3n5/9/3p5/1r2p4/3K5 w
9步杀8480,2bak3C/4a4/2P1b4/6RR1/9/9/9/9/c1nr1p3/4K4 w
9步杀8481,3ak3C/4a4/2P1b4/6RR1/2b6/9/9/9/1cnr1p3/4K4 w
9步杀8482,2bak3C/4a4/4b4/3P2RR1/2r6/9/9/1n7/3p1p3/c3K4 w
9步杀8483,3akc3/2P6/3a5/4p4/4c4/2R1P4/9/9/C1R1p1pn1/2p2K3 w
9步杀8484,2b2k3/3Ra1P2/3ab1R2/5cPC1/2r3r2/9/9/9/4p4/3p1K3 w
9步杀8485,2Pck4/cR2a2R1/2Pab4/9/1r7/9/4C4/3p5/4p1r2/3K5 w
9步杀8486,r2k1C1R1/9/2na5/2p1R4/4p4/2P6/c3P3P/4B4/1np1Ap2c/2BK1A3 w
9步杀8487,1Pcak4/9/3a3C1/4p4/9/9/5R3/4pR3/3pp1r2/3C1K3 w
9步杀8488,3ak1P2/4a4/9/4p4/c3C1R2/2C6/9/4p4/2rp1p3/4K1R2 w
9步杀8490,3a5/3P1k3/5a3/6n2/6c2/6r2/3R5/2C6/2p1p3C/rc1K4R w
9步杀8491,CRbaknb2/5R3/4ca3/p1p3p1p/9/2P6/P7P/3C5/5r1r1/2BAK4 w
9步杀8682,2bk1a3/4a4/4b4/2R3p2/4Cn3/1cP6/6C2/1p2B4/2r1A4/c3KAB2 w
10步杀8678,9/1P2a4/3ak4/4p1P2/2b6/9/9/6C2/1r2p4/3K2R2 w
10步杀8681,5a3/3Ca4/5k3/3c1n3/4pP3/9/9/2C6/2r1p4/3K1R3 w
10步杀8683,3kC4/2P1a4/3a1P1R1/4p4/6C2/9/5c3/4p4/3p1r3/4K4 w
10步杀8684,2b1kab1C/4a4/9/p1R6/6p2/2P6/P3c1P1P/6nC1/9/1rBAK1B2 w
10步杀8685,6b2/4a1C2/b4k3/3PR4/6p2/3r5/P5P1P/4p3B/4A2Cn/2BAK3c w
10步杀8956,3aka1RC/9/c1P1b3b/9/9/6R2/9/9/1n1r1p3/2B1K4 w
10步杀8957,3a5/7R1/1Pnak4/5Rp2/2b6/2Cn5/9/3p5/1r2p4/3K5 w
10步杀8959,2nak4/1R2an1P1/1r2bP2R/9/9/9/9/8C/2p1p4/3K5 w
10步杀8960,5a3/3k1P3/2P1b2C1/9/9/3rcr3/4c4/4R4/3pRp3/3AKA3 w
10步杀8961,r3kC1R1/9/2na5/2pR4p/4p4/2P6/c3P2nP/4B4/1p2A3c/2BK1A3 w
10步杀8962,3k2b2/1nR1a1R2/4b1n2/p1p1p3p/9/2P6/P5r1P/4BC3/4A4/1rB1KA3 w
10步杀8963,1Pba1knP1/C2Pa4/b4P1c1/1n7/9/9/9/1R5R1/1r1p1p1r1/4K4 w
10步杀8966,2b2a3/3k3C1/2Pa5/6C2/6b2/9/4c4/2n1R1p2/2r1R1r2/4K4 w
11步杀6622,3k1nbr1/2P1a2C1/3ab4/7R1/9/6R2/4p4/5p3/4A2p1/3K1A3 w
11步杀7087,3kCab2/R3a1c1C/3n4b/4P4/9/9/9/4pA3/4Ap3/3K2B2 w
11步杀7464,3k5/4P4/4b2R1/9/9/9/C8/4p4/2r3r2/R2AK4 w
11步杀8221,2bak4/3Pa4/4b4/1C7/3P4p/1pC6/4r1n2/B2R5/4A4/c2K1A3 w
11步杀9124,9/3na4/3k5/9/3P5/4P1CR1/9/2r2p3/4p4/5K3 w
11步杀9125,3a5/4a4/2nk5/6P2/3P5/9/8C/1r7/2r1p4/3K3R1 w
11步杀9126,2C6/1P4R2/3k3c1/4PP3/9/9/9/4p4/1r5r1/4K4 w
11步杀9127,2P6/9/3k1PP2/9/2CP3r1/9/9/9/2r1p4/2RK5 w
11步杀9128,6P2/4k4/3P5/3P2P2/3npc3/3r2C2/3p2p2/2RrnK3/9/9 w
11步杀9129,5k3/4an1R1/2nabP3/3P5/9/9/9/5cC2/4p1p2/3rCK3 w
11步杀9130,4P4/3kr1R2/2P6/3C5/9/3p5/5p1r1/3C1p3/4p4/5K3 w
11步杀9131,3ak4/4a1CR1/4P1C2/1r4p2/2r3b2/6P2/9/6n2/4p4/3K5 w
11步杀9132,6c2/3PCk3/4R4/4p1P2/2b3r2/6C2/9/9/4p4/rn1K5 w
11步杀9133,3CC4/3PPP3/1P3kcPr/4r1p1c/1R2pn3/9/9/5p3/4p4/5K1p1 w
11步杀9324,4kab2/4a4/4b4/p3C3p/7R1/P2R5/1r6P/4B4/4Ar3/c3KAB2 w
11步杀9325,5k1rc/5cR1R/4P4/2nPnP3/9/9/9/2p5C/2p1p4/3K5 w
11步杀9326,3a1kbn1/4P4/1c2n2r1/4p4/9/5CCpp/9/9/r1p1p4/3K1R2R w
11步杀9327,3c1R3/3k2n2/6n2/3PCRr2/5P3/9/9/5p3/6pr1/4cK1C1 w
#12步杀8489,3a1kb1r/4C1R2/b1c6/p3n4/7R1/5r3/P3C4/4B4/4A4/4K1B2 w
12步杀8958,3akab2/9/4b4/1R3P3/9/C1R6/9/5p3/6r2/2BAKA1rc w
12步杀9416,4k4/4a4/4P1C2/2p6/r1nP5/2p6/9/9/2p1p4/3K3R1 w
12步杀9417,5a3/4ak3/3P2R2/3P5/9/9/2n6/3K5/2r6/1r5C1 w
12步杀9419,3a3r1/4ak3/4P1R2/6C2/4pPr2/9/4P4/5n3/2p1p4/3K5 w
12步杀9564,2bak4/4aP3/2cRbP1c1/3nC1P2/6Pn1/9/9/1r1pRpC2/4r4/3K5 w
13步杀9418,9/2c1a1P2/1c3k3/4n4/5P3/9/7C1/7r1/4p1r2/2R2K3 w
13步杀9634,2C6/1P4R2/5k1c1/3PP4/9/9/9/4p4/1r5r1/4K4 w
13步杀9635,3k5/2P1a4/2PPc4/2R2c3/4P4/9/1r7/7C1/4p1p2/5K3 w
